Tanggal,P,Wf,Wl,Gate
01-11-2023,0.0,0.05,0.5,7.780065268388504
02-11-2023,0.0,0.05,0.5,7.780065268388504
03-11-2023,0.0,0.05,0.5,7.780065268388504
04-11-2023,0.0,0.05,0.5,7.780065268388504
05-11-2023,18.7,1.736680726730101,0.6994666666666667,8.858603797091543
06-11-2023,18.3,3.4630282966972405,0.8288888888888889,20.17076643442221
07-11-2023,0.0,1.77634756996714,0.7819047619047619,9.165934519017235
08-11-2023,0.0,0.05,0.7466666666666667,7.019370929509473
09-11-2023,0.0,0.05,0.7192592592592593,7.095869135249487
10-11-2023,3.75,0.3905997430596218,0.7173333333333334,7.104372728234707
11-11-2023,0.25,0.4133179353501268,0.7186666666666667,7.098445366114735
12-11-2023,0.0,0.072718192290505,0.7186666666666667,7.098445366114735
13-11-2023,0.0,0.05,0.7186666666666667,7.098445366114735
14-11-2023,0.0,0.05,0.7186666666666667,7.098445366114735
15-11-2023,0.0,0.05,0.6189333333333333,7.930592676199178
16-11-2023,0.0,0.05,0.5213333333333333,8.020819494603371
17-11-2023,0.05,0.0541274312958122,0.5216,8.023967350675216
18-11-2023,0.1,0.062385046252205,0.5221333333333333,8.03027282458568
19-11-2023,0.0,0.0582576149563927,0.5221333333333333,8.03027282458568
20-11-2023,0.0,0.05,0.5021333333333333,7.80311284517898
21-11-2023,0.0,0.05,0.5008,7.788680091695486
22-11-2023,0.0,0.05,0.5008,7.788680091695486
23-11-2023,0.0,0.05,0.5008,7.788680091695486
24-11-2023,0.0,0.05,0.5008,7.788680091695486
25-11-2023,0.0,0.05,0.5008,7.788680091695486
26-11-2023,0.0,0.05,0.5008,7.788680091695486
27-11-2023,1.35,0.1604585113926234,0.5077333333333334,7.864732583939868
28-11-2023,5.199999999999999,0.5932382468652015,0.5349333333333334,8.185396995265856
29-11-2023,10.25,1.3623208963489062,0.5896,8.285460156201108
30-11-2023,3.55,1.2370971200551224,0.6085333333333334,8.052046597016743
01-12-2023,0.9,0.4357119241834473,0.6133333333333334,7.995364568491323
02-12-2023,1.35,0.2457989516306293,0.6205333333333334,7.912362009345347
03-12-2023,1.5,0.2988546952644238,0.6285333333333334,7.823109007270214
04-12-2023,13.15,1.366922754930051,0.6986666666666667,7.205322649037791
05-12-2023,13.15,2.452488831402816,0.7688,13.49646387064859
06-12-2023,0.0,1.2667777851112123,0.7687999999999999,7.176465314034523
07-12-2023,2.05,0.2399290010568457,0.7725333333333334,7.035212580394596
08-12-2023,34.95,3.6310841221752472,0.9312,30.904402288112607
09-12-2023,26.8,6.095321105370341,1.0194666666666667,41.55930062412954
10-12-2023,44.55,7.295892106366757,1.2381333333333333,53.20906906292756
11-12-2023,16.5,6.363216622479084,1.3213333333333337,56.05376560905502
12-12-2023,1.0,1.8757962533580703,1.3194666666666666,39.74277646385943
13-12-2023,0.0,0.1543057529938032,1.3114666666666666,37.03664591185341
14-12-2023,35.3,3.7848937734030135,1.4296000000000002,57.67517120669365
15-12-2023,3.0,4.100167019136048,1.3754666666666666,52.96761258575997
16-12-2023,26.7,3.2189892389328225,1.5,58.00515648086569
17-12-2023,0.25,2.930408122931617,1.5,56.87919069375009
18-12-2023,0.5,0.1288815870103349,1.3245333333333336,38.15989903893815
19-12-2023,0.0,0.1021894572785054,1.1816,25.251044355752008
20-12-2023,0.0,0.05,0.944,21.13183583927444
21-12-2023,0.0,0.05,0.856,13.653125871563525
22-12-2023,0.0,0.05,0.8506666666666667,12.937416972443469
23-12-2023,0.0,0.05,0.8506666666666667,12.937416972443469
24-12-2023,0.0,0.05,0.6624,7.484089756780067
25-12-2023,0.0,0.05,0.6464000000000001,7.6359526532337325
26-12-2023,24.85,2.231847664104938,0.6365333333333334,12.722358266756345
27-12-2023,0.0,2.231847664104938,0.6352,12.748603089352859
28-12-2023,0.0,0.05,0.6325333333333334,7.779707050659882
